code,title,cityName,address
13,Центрально-Черноземный банк СБРФ,Воронеж,"ул.9 Января, 28, г.Воронеж, 394006"
ГЦЭ,Главный центр эмиссии,Москва,"ул. Вавилова, д. 19"
16,Уральский банк СБРФ,Екатеринбург,"ул.Московская, 11, г.Екатеринбург, 620014"
ДВБ,Дальневосточный банк СБРФ,Хабаровск,"ул. Гамарника 12"
18,Байкальский банк СБРФ,Иркутск,"ул.Депутатская, 32, г.Иркутск, 664047"
ЗСБ,Западно-Сибирский банк СБРФ,Тюмень,"ул. Рижская, 61"
31,Восточно-Сибирский банк СБРФ,Красноярск,"пр.Свободный, 46, г.Красноярск, 660028"
ПБ,Поволжский банк СБРФ,Самара,"ул. Пугачевская, 4а"
36,Северо-Восточный банк СБРФ,Магадан,"ул.Пушкина, 11/11, г.Магадан, 685000"
СЗБ,Северо-Западный банк СБРФ,Санкт-Петербург,"Невский проспект, д.101"
40,Среднерусский банк СБРФ,Москва,"ул.Большая Андроньевская, 8, г.Москва, 109544"
СибБ,Сибирский банк СБРФ,Новосибирск,"Центральный район, ул. Серебренниковская, 20"
42,Волго-Вятский банк СБРФ,Нижний Новгород,"ул.Октябрьская, 35, г.Нижний Новгород, 603005"
УБ,Уральский банк СБРФ,Екатеринбург,"ул. Московская, д.11"
44,Сибирский банк СБРФ,Новосибирск,"ул. Серебренниковская, 20, г.Новосибирск, 630007"
ЮЗБ,Юго-Западный банк СБРФ,Ростов-на-Дону,"ул. Евдокимова, 37"
49,Западно-Уральский банк СБРФ,Пермь,"ул.Орджоникидзе, 4, г.Пермь, 614990"
52,Юго-Западный банк СБРФ,Ростов-на-Дону,"ул.Евдокимова 37, г.Ростов-на-Дону, 344068"
54,Поволжский банк СБРФ,Самара,"ул.Ново-Садовая, 305, г.Самара, 443011"
55,Северо-Западный банк СБРФ,Санкт-Петербург,"ул.Красного Текстильщика, 2, г.Санкт-Петербург, 191124"
60,Северо-Кавказский банк СБРФ,Ставрополь,"ул.Ленина, 361, г.Ставрополь, 355035"
67,Западно-Сибирский банк СБРФ,Тюмень,"ул.Рижская, 61, г.Тюмень, 625023"
70,Дальневосточный банк СБРФ,Хабаровск,"ул.Гамарника,12, г.Хабаровск, 680020"
77,Северный банк СБРФ,Ярославль,"пр. Октября, 8, г.Ярославль, 150003"
99,ОПЕРУ Сбербанка России,Москва,"ул.Вавилова, 19, г.Москва, 117997"